image,response,input_tokens,output_tokens,error_code,error_message
"0.jpg","Common Name: Grey Wagtail Scientific Name: Motacilla cinerea","332","17","",""
"1.jpg","Common Name: Great Kiskadee Scientific Name: Pitangus sulphuratus","332","20","",""
"10.jpg","Common Name: European Magpie Scientific Name: Pica pica","332","16","",""
"100.jpg","Common Name: Hermit Thrush Scientific Name: Catharus guttatus","332","17","",""
"1000.jpg","Common Name: Common Buzzard Scientific Name: Buteo buteo","332","17","",""
"1001.jpg","Common Name: Masked Weaver Scientific Name: Ploceus velatus","332","18","",""
"1002.jpg","Common Name: Greylag Goose Scientific Name: Anser anser","368","17","",""
"1003.jpg","Common Name: Tundra Swan Scientific Name: Cygnus columbianus","332","18","",""
"1004.jpg","Common Name: Indian Grey Hornbill Scientific Name: Ocyceros birostris","332","20","",""
"1005.jpg","Common Name: Northern Wheatear Scientific Name: Oenanthe oenanthe","332","19","",""
"1006.jpg","Common Name: Brown Thrasher Scientific Name: Toxostoma rufum","314","19","",""
"1007.jpg","Common Name: Black-capped Chickadee Scientific Name: Poecile atricapillus","332","21","",""
"1008.jpg","Common Name: White-rumped Shama Scientific Name: Copsychus malabaricus","332","21","",""
"1009.jpg","Common Name: Pied Kingfisher Scientific Name: Ceryle rudis","350","18","",""
"101.jpg","Common Name: Grey Butcherbird Scientific Name: Cracticus torquatus","314","19","",""
"1010.jpg","Common Name: Lappet-faced Vulture Scientific Name: Torgos tracheliotos","314","22","",""
"1011.jpg","Common Name: Mute Swan Scientific Name: Cygnus olor","332","17","",""
"1012.jpg","Common Name: Great Spotted Woodpecker Scientific Name: Dendrocopos major","332","21","",""
"1013.jpg","Common Name: Black Swan Scientific Name: Cygnus atratus","332","16","",""
"1014.jpg","Common Name: Woodlark Scientific Name: Lullula arborea","404","17","",""
"1015.jpg","Common Name: Little Bittern Scientific Name: Ixobrychus minutus","314","21","",""
"1016.jpg","Common Name: Snowy Egret Scientific Name: Egretta thula","404","18","",""
"1017.jpg","Common Name: Black Oystercatcher Scientific Name: Haematopus bachmani","332","19","",""
"1018.jpg","Common Name: Black-naped Oriole Scientific Name: Oriolus chinensis","278","19","",""
"1019.jpg","Common Name: Slaty-tailed Trogon Scientific Name: Trogon massena","422","20","",""
"102.jpg","Common Name: Eurasian Wryneck Scientific Name: Jynx torquilla","314","20","",""
"1020.jpg","Common Name: Monk Parakeet Scientific Name: Myiopsitta monachus","314","20","",""
"1021.jpg","Common Name: Red-shouldered Hawk Scientific Name: Buteo lineatus","368","19","",""
"1022.jpg","Common Name: Black-and-yellow Broadbill Scientific Name: Eurystomus ochromalus","332","21","",""
"1023.jpg","Common Name: Anna's Hummingbird Scientific Name: Calypte anna","332","19","",""
"1024.jpg","Common Name: Boat-tailed Grackle Scientific Name: Quiscalus major","350","18","",""
"1025.jpg","Common Name: Yellow-faced Grassquit Scientific Name: Tiaris olivaceus","332","20","",""
"1026.jpg","Common Name: Red-whiskered Bulbul Scientific Name: Pycnonotus jocosus","314","23","",""
"1027.jpg","Common Name: Semipalmated Plover Scientific Name: Charadrius semipalmatus","332","23","",""
"1028.jpg","Common Name: Groove-billed Ani Scientific Name: Crotophaga sulcirostris","332","24","",""
"1029.jpg","Common Name: Black-throated Gray Warbler Scientific Name: Setophaga nigrescens","314","23","",""
"103.jpg","Common Name: Burrowing Owl Scientific Name: Athene cunicularia","296","18","",""
"1030.jpg","Common Name: Grey Wagtail Scientific Name: Motacilla cinerea","314","17","",""
"1031.jpg","Common Name: Hooded Warbler Scientific Name: Setophaga citrina","332","18","",""
"1032.jpg","Common Name: Common Buzzard Scientific Name: Buteo buteo","332","17","",""
"1033.jpg","Common Name: American Crow Scientific Name: Corvus brachyrhynchos","332","20","",""
"1034.jpg","Common Name: Brown Thrasher Scientific Name: Toxostoma rufum","314","19","",""
"1035.jpg","Common Name: Least Bittern Scientific Name: Ixobrychus exilis","332","22","",""
"1036.jpg","Common Name: Green-cheeked Parakeet Scientific Name: Pyrrhura molinae","332","23","",""
"1037.jpg","Common Name: Northern Lapwing Scientific Name: Vanellus vanellus","332","18","",""
"1038.jpg","Common Name: Cliff Swallow Scientific Name: Petrochelidon pyrrhonota","332","20","",""
"1039.jpg","Common Name: White-breasted Woodswallow Scientific Name: Artamus leucorynchus","314","23","",""
"104.jpg","Common Name: Semipalmated Sandpiper Scientific Name: Calidris pusilla","314","21","",""
"1040.jpg","Common Name: Western Sandpiper Scientific Name: Calidris mauri","296","18","",""
"1041.jpg","Common Name: Lesser Scaup Scientific Name: Aythya affinis","314","18","",""
"1042.jpg","Common Name: Band-tailed Pigeon Scientific Name: Patagioenas fasciata","386","22","",""
"1043.jpg","Common Name: Sanderling Scientific Name: Calidris alba","422","17","",""
"1044.jpg","Common Name: Common Buzzard Scientific Name: Buteo buteo","314","17","",""
"1045.jpg","Common Name: Yellow-vented Bulbul Scientific Name: Pycnonotus goiavier","314","22","",""
"1046.jpg","Common Name: Red-billed Firefinch Scientific Name: Lagonosticta senegala","332","23","",""
"1047.jpg","Common Name: Water Pipit Scientific Name: Anthus spinoletta","314","18","",""
"1048.jpg","Common Name: Chipping Sparrow Scientific Name: Spizella passerina","314","18","",""
"1049.jpg","Common Name: Red-necked Phalarope Scientific Name: Phalaropus lobatus","332","20","",""
"105.jpg","Common Name: Violet-green Swallow Scientific Name: Tachycineta thalassina","368","21","",""
"1050.jpg","Common Name: Ringed Kingfisher Scientific Name: Megaceryle torquata","332","21","",""
"1051.jpg","Common Name: Orange-crowned Oriole Scientific Name: Icterus auricapillus","314","20","",""
"1052.jpg","Common Name: Willie Wagtail Scientific Name: Rhipidura javanica","368","19","",""
"1053.jpg","Common Name: Gerygone Scientific Name: Gerygone igata","422","17","",""
"1054.jpg","Common Name: Eurasian Wryneck Scientific Name: Jynx torquilla","350","20","",""
"1055.jpg","Common Name: Purple Martin Scientific Name: Progne subis","332","15","",""
"1056.jpg","Common Name: Pied Kingfisher Scientific Name: Ceryle rudis","332","18","",""
"1057.jpg","Common Name: Anna's Hummingbird Scientific Name: Calypte anna","314","19","",""
"1058.jpg","Common Name: Canada Goose Scientific Name: Branta canadensis","278","16","",""
"1059.jpg","Common Name: Common Potoo Scientific Name: Nyctibius griseus","332","20","",""
"106.jpg","Common Name: European Magpie Scientific Name: Pica pica","332","16","",""
"1060.jpg","Common Name: Great Kiskadee Scientific Name: Pitangus sulphuratus","332","20","",""
"1061.jpg","Common Name: Southern Lapwing Scientific Name: Vanellus chilensis","332","18","",""
"1062.jpg","Common Name: Swamp Sparrow Scientific Name: Melospiza georgiana","314","18","",""
"1063.jpg","Common Name: Wattled Jacana Scientific Name: Jacana jacana","332","17","",""
"1064.jpg","Common Name: Asian Koel Scientific Name: Eudynamys scolopaceus","278","21","",""
"1065.jpg","Common Name: Eurasian Treecreeper Scientific Name: Certhia familiaris","332","20","",""
"1066.jpg","Common Name: Canada Goose Scientific Name: Branta canadensis","314","16","",""
"1067.jpg","Common Name: Changeable Hawk-Eagle Scientific Name: Spizaetus cirrhatus","404","20","",""
"1068.jpg","Common Name: Hooded Warbler Scientific Name: Setophaga citrina","404","18","",""
"1069.jpg","Common Name: Mute Swan Scientific Name: Cygnus olor","296","17","",""
"107.jpg","Common Name: Yellow-winged Cacique Scientific Name: Psarocolius chrysopterus","314","24","",""
"1070.jpg","Common Name: Neotropic Cormorant Scientific Name: Nannopterum brasilianum","314","23","",""
"1071.jpg","Common Name: Black Stork Scientific Name: Ciconia nigra","314","17","",""
"1072.jpg","Common Name: Western Gull Scientific Name: Larus occidentalis","332","17","",""
"1073.jpg","Common Name: Yellow-vented Bulbul Scientific Name: Pycnonotus goiavier","332","22","",""
"1074.jpg","Common Name: Rufescent Tiger-Heron Scientific Name: Tigrisoma lineatum","314","21","",""
"1075.jpg","Common Name: Yellow-rumped Warbler Scientific Name: Setophaga coronata","332","19","",""
"1076.jpg","Common Name: Yellow-vented Bulbul Scientific Name: Pycnonotus goiavier","386","22","",""
"1077.jpg","Common Name: Long-crested Eagle Scientific Name: Lophaetus occipitalis","386","22","",""
"1078.jpg","Common Name: Purple Martin Scientific Name: Progne subis","332","15","",""
"1079.jpg","Common Name: European Green Woodpecker Scientific Name: Picus viridis","278","18","",""
"108.jpg","Common Name: Eastern Bluebird Scientific Name: Sialia sialis","278","17","",""
"1080.jpg","Common Name: Common Nighthawk Scientific Name: Chordeiles minor","332","17","",""
"1081.jpg","Common Name: American Kestrel Scientific Name: Falco sparverius","332","18","",""
"1082.jpg","Common Name: Golden-collared Manakin Scientific Name: Manacus vitellinus","332","20","",""
"1083.jpg","Common Name: Kentish Plover Scientific Name: Charadrius alexandrinus","314","21","",""
"1084.jpg","Common Name: Rock Pigeon Scientific Name: Columba livia","332","17","",""
"1085.jpg","Common Name: Northern Flicker Scientific Name: Colaptes auratus","332","18","",""
"1086.jpg","Common Name: Black Swan Scientific Name: Cygnus atratus","332","16","",""
"1087.jpg","Common Name: Yellow-wattled Lapwing Scientific Name: Vanellus malabaricus","332","21","",""
"1088.jpg","Common Name: Northern Flicker Scientific Name: Colaptes auratus","278","18","",""
"1089.jpg","Common Name: Changeable Hawk-Eagle Scientific Name: Spizaetus cirrhatus","332","20","",""
"109.jpg","Common Name: Northern Gannet Scientific Name: Morus bassanus","332","17","",""
"1090.jpg","Common Name: Gila Woodpecker Scientific Name: Melanerpes uropygialis","278","22","",""
"1091.jpg","Common Name: Coscoroba Swan Scientific Name: Coscoroba coscoroba","314","19","",""
"1092.jpg","Common Name:  Scientific Name: ","296","10","",""
"1093.jpg","Common Name: Yellow-rumped Warbler Scientific Name: Setophaga coronata","332","19","",""
"1094.jpg","Common Name: Lazuli Bunting Scientific Name: Passerina amoena","332","18","",""
"1095.jpg","Common Name: Rock Pigeon Scientific Name: Columba livia","332","17","",""
"1096.jpg","Common Name: Striated Pardalote Scientific Name: Pardalotus striatus","332","22","",""
"1097.jpg","Common Name: Baltimore Oriole Scientific Name: Icterus galbula","404","18","",""
"1098.jpg","Common Name: Great Kiskadee Scientific Name: Pitangus sulphuratus","332","20","",""
"1099.jpg","Common Name: Gray Kingbird Scientific Name: Tyrannus dominicensis","350","18","",""
"11.jpg","Common Name: Gray Catbird Scientific Name: Dumetella carolinensis","422","18","",""
"110.jpg","Common Name: Blue-tailed Bee-eater Scientific Name: Merops philippinus","350","20","",""
"1100.jpg","Common Name: Kentish Plover Scientific Name: Charadrius alexandrinus","314","21","",""
"1101.jpg","Common Name: Great Spotted Woodpecker Scientific Name: Dendrocopos major","314","21","",""
"1102.jpg","Common Name: Skylark Scientific Name: Alauda arvensis","332","17","",""
"1103.jpg","Common Name: Northern Gannet Scientific Name: Morus bassanus","314","17","",""
"1104.jpg","Common Name: Eurasian Wryneck Scientific Name: Jynx torquilla","332","20","",""
"1105.jpg","Common Name: Yellow-billed Stork Scientific Name: Mycteria ibis","422","19","",""
"1106.jpg","Common Name: Red-billed Firefinch Scientific Name: Lagonosticta senegala","314","23","",""
"1107.jpg","Common Name: Dunlin Scientific Name: Calidris alpina","296","17","",""
"1108.jpg","Common Name: Black-crowned Night Heron Scientific Name: Nycticorax nycticorax","368","23","",""
"1109.jpg","Common Name: Little Ringed Plover Scientific Name: Charadrius dubius","332","20","",""
"111.jpg","Common Name: Ash-throated Flycatcher Scientific Name: Myiarchus cinerascens","332","24","",""
"1110.jpg","Common Name: Yucatan Jay Scientific Name: Cyanocorax yncas","314","20","",""
"1111.jpg","Common Name: Northern Lapwing Scientific Name: Vanellus vanellus","314","18","",""
"1112.jpg","Common Name: Changeable Hawk-Eagle Scientific Name: Spizaetus cirrhatus","350","20","",""
"1113.jpg","Common Name: Great Kiskadee Scientific Name: Pitangus sulphuratus","332","20","",""
"1114.jpg","Common Name: Lesser Scaup Scientific Name: Aythya affinis","332","18","",""
"1115.jpg","Common Name: Southern Masked Weaver Scientific Name: Ploceus velatus","404","19","",""
"1116.jpg","Common Name: Oriental Pied Hornbill Scientific Name: Anthracoceros albirostris","278","22","",""
"1117.jpg","Common Name: Grey Gerygone Scientific Name: Gerygone igata","386","18","",""
"1118.jpg","Common Name: Northern Flicker Scientific Name: Colaptes auratus","332","18","",""
"1119.jpg","Common Name: Yellow-rumped Warbler Scientific Name: Setophaga coronata","332","19","",""
"112.jpg","Common Name: Changeable Hawk-Eagle Scientific Name: Spizaetus cirrhatus","332","20","",""
"1120.jpg","Common Name: Eurasian Blue Tit Scientific Name: Cyanistes caeruleus","332","18","",""
"1121.jpg","Common Name: Osprey Scientific Name: Pandion haliaetus","278","17","",""
"1122.jpg","Common Name: Grasshopper Sparrow Scientific Name: Ammodramus savannarum","296","22","",""
"1123.jpg","Common Name: Common Buzzard Scientific Name: Buteo buteo","314","17","",""
"1124.jpg","Common Name: Reed Warbler Scientific Name: Acrocephalus scirpaceus","332","20","",""
"1125.jpg","Common Name: Savannah Sparrow Scientific Name: Passerculus sandwichensis","332","17","",""
"1126.jpg","Common Name: Dunnock Scientific Name: Prunella modularis","314","16","",""
"1127.jpg","Common Name: Blue-gray Tanager Scientific Name: Thraupis episcopus","332","20","",""
"1128.jpg","Common Name: House Wren Scientific Name: Troglodytes aedon","314","19","",""
"1129.jpg","Common Name: White-crowned Shama Scientific Name: Copsychus albospecularis","332","23","",""
"113.jpg","Common Name: Black-headed Weaver Scientific Name: Ploceus melanocephalus","422","20","",""
"1130.jpg","Common Name: Great Kiskadee Scientific Name: Pitangus sulphuratus","278","20","",""
"1131.jpg","Common Name: American Crow Scientific Name: Corvus brachyrhynchos","314","20","",""
"1132.jpg","Common Name: Bald Eagle Scientific Name: Haliaeetus leucocephalus","278","19","",""
"1133.jpg","Common Name: Rock Pigeon Scientific Name: Columba livia","332","17","",""
"1134.jpg","Common Name: White-necked Jacobin Scientific Name: Florisuga mellivora","404","20","",""
"1135.jpg","Common Name: Brown Creeper Scientific Name: Certhia americana","332","17","",""
"1136.jpg","Common Name: Greater Racket-tailed Drongo Scientific Name: Dicrurus paradiseus","314","22","",""
"1137.jpg","Common Name: Bare-throated Tiger Heron Scientific Name: Tigrisoma mexicanum","332","23","",""
"1138.jpg","Common Name: Blue-faced Honeyeater Scientific Name: Entomyzon cyanotis","368","20","",""
"1139.jpg","Common Name: Eurasian Blue Tit Scientific Name: Cyanistes caeruleus","314","18","",""
"114.jpg","Common Name: Red-breasted Nuthatch Scientific Name: Sitta canadensis","332","20","",""
"1140.jpg","Common Name: Black-winged Stilt Scientific Name: Himantopus himantopus","278","20","",""
"1141.jpg","Common Name: Barn Swallow Scientific Name: Hirundo rustica","332","16","",""
"1142.jpg","Common Name: European Magpie Scientific Name: Pica pica","314","16","",""
"1143.jpg","Common Name: Cliff Swallow Scientific Name: Petrochelidon pyrrhonota","296","20","",""
"1144.jpg","Common Name: Tree Swallow Scientific Name: Tachycineta bicolor","332","18","",""
"1145.jpg","Common Name: Common Potoo Scientific Name: Nyctibius griseus","314","20","",""
"1146.jpg","Common Name: Northern Jacana Scientific Name: Jacana spinosa","314","16","",""
"1147.jpg","Common Name:  Scientific Name:","314","9","",""
"1148.jpg","Common Name: Green Violet-ear Scientific Name: Colibri thalassinus","314","19","",""
"1149.jpg","Common Name: Black-capped Chickadee Scientific Name: Poecile atricapillus","314","21","",""
"115.jpg","Common Name: Grey Heron Scientific Name: Ardea cinerea","332","16","",""
"1150.jpg","Common Name: Australasian Shoveller Scientific Name: Anas rhynchotis","332","21","",""
"1151.jpg","Common Name: Sandwich Tern Scientific Name: Thalasseus sandvicensis","404","20","",""
"1152.jpg","Common Name: Red-necked Phalarope Scientific Name: Phalaropus lobatus","314","20","",""
"1153.jpg","Common Name: Great Spotted Woodpecker Scientific Name: Dendrocopos major","314","21","",""
"1154.jpg","Common Name: Green-cheeked Parakeet Scientific Name: Pyrrhura molinae","314","23","",""
"1155.jpg","Common Name: Semipalmated Sandpiper Scientific Name: Calidris pusilla","314","21","",""
"1156.jpg","Common Name: Brown Falcon Scientific Name: Falco berigora","332","16","",""
"1157.jpg","Common Name: Green Catbird Scientific Name: Ailuroedus crassirostris","422","22","",""
"1158.jpg","Common Name: Olive-backed Sunbird Scientific Name: Cinnyris jugularis","368","19","",""
"1159.jpg","Common Name: Yellow-vented Bulbul Scientific Name: Pycnonotus goiavier","278","22","",""
"116.jpg","Common Name: Lappet-faced Vulture Scientific Name: Torgos tracheliotos","332","22","",""
"1160.jpg","Common Name: Black-tailed Gnatcatcher Scientific Name: Polioptila melanura","350","22","",""
"1161.jpg","Common Name: Bushtit Scientific Name: Psaltriparus minimus","314","18","",""
"1162.jpg","Common Name: Mallard Scientific Name: Anas platyrhynchos","332","18","",""
"1163.jpg","Common Name: Violet-backed Starling Scientific Name: Cinnyris asiaticus","314","19","",""
"1164.jpg","Common Name: Common Whitethroat Scientific Name: Sylvia communis","332","16","",""
"1165.jpg","Common Name: Eurasian Magpie Scientific Name: Pica pica","278","17","",""
"1166.jpg","Common Name: Marbled Godwit Scientific Name: Limosa fedoa","314","17","",""
"1167.jpg","Common Name: Yellow-billed Magpie Scientific Name: Pica nuttalli","332","19","",""
"1168.jpg","Common Name: Common Grackle Scientific Name: Quiscalus quiscula","332","18","",""
"1169.jpg","Common Name: House Sparrow Scientific Name: Passer domesticus","278","16","",""
"117.jpg","Common Name: Yellow-winged Blackbird Scientific Name: Agelaius thilius","314","21","",""
"1170.jpg","Common Name: Horned Grebe Scientific Name: Podiceps auritus","332","17","",""
"1171.jpg","Common Name: Black-legged Kittiwake Scientific Name: Rissa tridactyla","314","20","",""
"1172.jpg","Common Name: Dark-eyed Junco Scientific Name: Junco hyemalis","314","18","",""
"1173.jpg","Common Name: Northern Flicker Scientific Name: Colaptes auratus","314","18","",""
"1174.jpg","Common Name: Black-headed Heron Scientific Name: Ardea melanocephala","314","19","",""
"1175.jpg","Common Name: Northern Gannet Scientific Name: Morus bassanus","332","17","",""
"1176.jpg","Common Name: Black-naped Oriole Scientific Name: Oriolus chinensis","332","19","",""
"1177.jpg","Common Name: Western Grebe Scientific Name: Aechmophorus occidentalis","314","20","",""
"1178.jpg","Common Name: Neotropic Cormorant Scientific Name: Nannopterum brasilianum","314","23","",""
"1179.jpg","Common Name: Baya Weaver Scientific Name: Ploceus philippinus","332","19","",""
"118.jpg","Common Name: Common Goldeneye Scientific Name: Bucephala clangula","332","18","",""
"1180.jpg","Common Name: Northern Flicker Scientific Name: Colaptes auratus","332","18","",""
"1181.jpg","Common Name: Rufous-capped Warbler Scientific Name: Basileuterus rufifrons","278","23","",""
"1182.jpg","Common Name: Black-chinned Hummingbird Scientific Name: Archilochus alexandri","332","22","",""
"1183.jpg","Common Name: Woodland Kingfisher Scientific Name: Halcyon senegalensis","332","20","",""
"1184.jpg","Common Name: Superb Starling Scientific Name: Lamprotornis superbus","332","19","",""
"1185.jpg","Common Name: Black Oystercatcher Scientific Name: Haematopus bachmani","332","19","",""
"1186.jpg","Common Name: Red-breasted Nuthatch Scientific Name: Sitta canadensis","314","20","",""
"1187.jpg","Common Name: Willie Wagtail Scientific Name: Rhipidura javanica","332","19","",""
"1188.jpg","Common Name: Great Spotted Woodpecker Scientific Name: Dendrocopos major","386","21","",""
"1189.jpg","Common Name: Glaucous-winged Gull Scientific Name: Larus glaucescens","386","24","",""
"119.jpg","Common Name: Black-chinned Hummingbird Scientific Name: Archilochus alexandri","332","22","",""
"1190.jpg","Common Name: Baird's Sandpiper Scientific Name: Calidris bairdii","332","22","",""
"1191.jpg","Common Name: Plain Chachalaca Scientific Name: Ortalis vetula","314","18","",""
"1192.jpg","Common Name: White-breasted Nuthatch Scientific Name: Sitta carolinensis","278","20","",""
"1193.jpg","Common Name: Brown-headed Chickadee Scientific Name: Poecile gambeli","314","19","",""
"1194.jpg","Common Name: Gray Catbird Scientific Name: Dumetella carolinensis","332","18","",""
"1195.jpg","Common Name: European Nightjar Scientific Name: Caprimulgus europaeus","314","19","",""
