image,response,input_tokens,output_tokens,error_code,error_message
"0.jpg","Description: The bird has a slender body with a pale grayish-brown upperparts and lighter underparts. It has a thin, pointed beak and appears to be perched near water, suggesting it may be a wader or a bird that frequents aquatic environments. 1. Common Name: Grey Wagtail    Scientific Name: Motacilla cinerea 2. Common Name: White Wagtail    Scientific Name: Motacilla alba 3. Common Name: Yellow Wagtail    Scientific Name: Motacilla flava","398","112","",""
"1.jpg","Description: The bird has a bright yellow underbelly, a greyish-brown back, and a black mask-like stripe across its eyes. It appears to be perched on a branch with a slender build. 1. Common Name: Great Kiskadee    Scientific Name: Pitangus sulphuratus 2. Common Name: Social Flycatcher    Scientific Name: Myiozetetes similis 3. Common Name: Yellow-bellied Elaenia    Scientific Name: Elaenia flavogaster","398","110","",""
"10.jpg","Description: The bird has a black head with a white patch behind the eye, a black beak, and a predominantly white body with blue and black wings. It is perched on a branch among bare trees. 1. Common Name: European Magpie    Scientific Name: Pica pica 2. Common Name: Black-billed Magpie    Scientific Name: Pica hudsonia 3. Common Name: Yellow-billed Magpie    Scientific Name: Pica nuttalli","398","103","",""
"100.jpg","Description: The bird has an olive-brown upper body with a pale underside marked by dark spots. It has a slender build, thin legs, and a short, pointed beak. The bird is perched among branches and foliage, blending well with its surroundings. 1. Common Name: Hermit Thrush    Scientific Name: Catharus guttatus 2. Common Name: Wood Thrush    Scientific Name: Hylocichla mustelina 3. Common Name: Veery    Scientific Name: Catharus fuscescens","398","112","",""
"1000.jpg","Description: The bird has a broad wingspan with a distinctive V-shape when soaring. It has a reddish-brown body, lighter underparts, and darker wingtips. The tail is relatively long and appears to be fanned out during flight. 1. Common Name: Common Buzzard    Scientific Name: Buteo buteo 2. Common Name: Rough-legged Buzzard    Scientific Name: Buteo lagopus 3. Common Name: Red-tailed Hawk    Scientific Name: Buteo jamaicensis","398","112","",""
"1001.jpg","Description: The bird is small with bright yellow plumage and black markings on its wings. It is perched on a branch near several spherical nests hanging from the tree. 1. Common Name: Southern Masked Weaver    Scientific Name: Ploceus velatus 2. Common Name: Village Weaver    Scientific Name: Ploceus cucullatus 3. Common Name: Speke's Weaver    Scientific Name: Ploceus spekei","398","97","",""
"1002.jpg","Description: The birds have a grey-brown body with a lighter underside, a white rump, and an orange beak with a black tip. They are seen floating on water. 1. Common Name: Greylag Goose    Scientific Name: Anser anser 2. Common Name: Pink-footed Goose    Scientific Name: Anser brachyrhynchus 3. Common Name: Bean Goose    Scientific Name: Anser fabalis","434","96","",""
"1003.jpg","Description: The image shows two large white birds with long necks standing in shallow water surrounded by aquatic vegetation. They have black beaks and appear to be foraging or resting. 1. Common Name: Tundra Swan    Scientific Name: Cygnus columbianus 2. Common Name: Mute Swan    Scientific Name: Cygnus olor 3. Common Name: Trumpeter Swan    Scientific Name: Cygnus buccinator","398","95","",""
"1004.jpg","Description: The bird has a slender body with a long tail, predominantly dark plumage, and a light-colored beak. It appears to have some white markings on its wings and tail. The bird is perched on a tree branch surrounded by green foliage. 1. Common Name: Black-capped Monarch    Scientific Name: Hypothymis azurea 2. Common Name: Asian Paradise Flycatcher    Scientific Name: Terpsiphone paradisi 3. Common Name: White-rumped Shama    Scientific Name: Copsychus malabaricus","398","118","",""
"1005.jpg","Description: The bird has a slender build with a short, pointed beak. Its plumage is primarily brown with lighter underparts. It appears to have a slightly darker cap and a faint eye stripe. The tail is relatively long and narrow. It is perched on what looks like a rocky surface with some dry vegetation. 1. Common Name: Northern Wheatear    Scientific Name: Oenanthe oenanthe 2. Common Name: Isabelline Wheatear    Scientific Name: Oenanthe isabellina 3. Common Name: Desert Wheatear    Scientific Name: Oenanthe","398","128","",""
